doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,clase_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Costa,8714,1Q2018,1533840560858,4,5,5,5,4,4,4,5,5,
Argerich,7506,1Q2018,1533840574943,5,5,4,4,3,4,5,2,5,
Martinelli,7506,1Q2018,1533840574945,5,5,4,4,4,4,4,3,5,
Gomez,7512,1Q2017,1533840626943,4,4,4,2,1,2,2,3,1,
Mastropietro,7512,1Q2017,1533840626945,4,3,4,4,3,4,3,3,3,
Rosa,6602,2Q2017,1533840663226,5,5,5,4,4,4,5,5,5,
Marino Belcaguy,6602,2Q2017,1533840663227,3,3,3,4,4,4,4,4,5,
Mendez,7508,1Q2018,1533840672152,5,4,5,4,4,5,5,5,5,
Repetto,6201,2Q2017,1533840716765,5,5,5,5,5,5,5,4,5,
Indelicato,6201,2Q2017,1533840716770,5,5,5,5,5,5,5,4,5,
Reboredo,6201,2Q2017,1533840716775,5,5,5,5,5,5,5,4,5,
Ferrini,6201,2Q2017,1533840721164,5,5,5,3,3,4,4,5,5,
Piñera,6201,2Q2017,1533840721167,4,4,4,4,3,4,3,5,3,
Ubal Dahl,6201,2Q2017,1533840721169,4,4,4,3,4,3,4,5,3,
Merlo,8710,1Q2018,1533840738180,5,2,4,3,4,2,2,3,3,
Schwarz Gonzalez,7512,2Q2017,1533840744004,5,5,5,5,5,5,5,5,5,
Sosa,7512,2Q2017,1533840744004,5,5,4,4,4,4,3,4,4,
Echarri,6201,1Q2018,1533840747784,5,5,5,5,5,5,5,5,5,
Suarez Anzorena,6201,1Q2018,1533840747796,5,5,4,5,3,4,4,4,5,
Martinez Stenger,6201,1Q2018,1533840747806,5,5,5,5,5,4,4,5,5,
Maioco,8302,1Q2018,1533840756486,5,3,3,5,5,4,5,4,2,
Piccone,8302,1Q2018,1533840756497,5,3,5,2,1,1,2,5,4,
Zammarano,7112,1Q2018,1533840823870,5,1,1,1,2,1,1,1,1,RXMgdW4gcHJvZmVzb3IgcXVlIGRlbmlncmEgYSBsb3MgYWx1bW5vYQ==
Barmack,7112,1Q2018,1533840823878,4,1,1,1,1,1,1,1,1,
Vever,7112,1Q2018,1533840823885,4,1,1,1,1,1,1,1,1,
Frutos,7112,1Q2018,1533840823892,4,1,4,3,4,3,2,3,1,
Vassallo,7112,1Q2018,1533840823900,3,1,1,1,1,1,1,1,1,
Acosta,6201,1Q2018,1533840825822,5,5,3,2,1,3,4,2,2,
Indelicato,6201,1Q2018,1533840825831,3,4,4,3,5,4,3,3,3,
Corach,6201,1Q2018,1533840825837,5,4,3,2,3,2,2,2,3,
Leone,6203,1Q2018,1533840830680,5,3,5,5,3,1,5,3,3,TGEgY2xhc2VzIHNvbiAgYnVlbmFzIGF1bnF1ZSBzZSBleHRpZW5kZSBmdWVyYSBkZWwgaG9yYXJpbyBvY3VwYW5kbyBlbCBpbnRlcnZhbG8uIEVzIGRlbWFzaWFkbyBtYXRlbcOhdGljbyBsbyBjdWFsIGRpZmljdWx0YSBlbnRlbmRlcmxlIHBlcm8gZGVzYXJyb2xsYSBjYWRhIHRlbWEgY29uIG11Y2hhIHByb2Z1bmRpZGFkLg==
Poggio Fraccari,6203,1Q2018,1533840830681,5,5,5,5,5,5,5,5,5,RXhjZWxlbnRlIHByb2Zlc29yLCBtdWNoYSBwcmVkaXNwb3NpY2nDs24gcGFyYSByZXNwb25kZXIgY29uc3VsdGFzLCByZXNwb25kZSBsYXMgZHVkYXMgbGFzIHZlY2VzIHF1ZSBzZWEgbmVjZXNhcmlvLCBzZSBxdWVkYSBmdWVyYSBkZWwgaG9yYXJpbyBkZSBjbGFzZSByZXNwb25kaWVuZG8gZHVkYXMuIEN1YW5kbyBoYWNlIGVqZXJjaWNpb3MgZW4gZWwgcGl6YXJyb24gbG8gaGFjZSBkZSBtYW5lcmEgbGVudGEgeSBjb21wbGV0YSBlIGluc2lzdGUgZW4gcXVlIHNlIGNvbnN1bHRlIGxvIHF1ZSBubyBzZSBlbnRpZW5kYSB5IGRlIHNlciBhc8OtIGxvIHZ1ZWx2ZSBhIGV4cGxpY2FyLiBHcmFuIGRvY2VudGU=
De Perini,6203,1Q2018,1533840830682,3,5,5,5,5,5,5,5,5,Tm8gZXhwbGljw7MgbXVjaG8gZW4gZWwgcGl6YXJyb24gcGVybyBzaSBmdWUgZnVuZGFtZW50YWwgYSBsYSBob3JhIGRlIGhhY2VyIGNvbnN1bHRhcywgbXV5IGNsYXJvIHkgZGVkaWNhIGVsIHRpZW1wbyBuZWNlc2FyaW8gYSBleHBsaWNhciBsbyBxdWUgbm8gc2UgZW50aWVuZGUu
Sarris,6108,1Q2018,1533840841400,5,5,5,5,5,4,5,4,1,
Charó,6108,1Q2018,1533840841417,5,5,5,5,5,5,5,5,4,
Herrmann,6108,1Q2018,1533840841428,5,5,5,4,4,4,4,5,4,
Vargas,6108,1Q2018,1533840846332,5,5,5,5,5,4,5,4,3,
Krell,6108,1Q2018,1533840846333,2,2,3,1,1,3,1,1,1,
Cabana,6108,1Q2018,1533840846334,4,4,4,5,5,5,5,3,1,
Toscano,6401,1Q2018,1533840846745,5,5,5,5,5,3,3,3,2,
Szaingurten,6401,1Q2018,1533840846758,5,5,5,4,4,4,3,3,2,
Baez,6401,1Q2018,1533840846763,5,5,5,3,3,3,5,4,5,
Comas,6109,1Q2018,1533840852511,4,5,5,5,5,5,5,5,2,
Peña,6109,1Q2018,1533840852518,4,4,5,2,3,3,5,5,3,
Lopez,6109,1Q2018,1533840852524,4,4,5,5,5,4,3,5,5,
Bergamini,8105,1Q2018,1533840878584,5,5,5,5,5,5,5,5,5,
Peña,8105,1Q2018,1533840878585,5,5,5,5,5,5,5,5,5,
Essaya,9514,1Q2018,1533840902257,5,3,5,5,5,4,5,5,5,
Sassano,6103,1Q2018,1533840917407,4,5,4,4,5,3,4,2,2,
De Rossi,6103,1Q2018,1533840917411,5,5,5,5,5,4,4,4,3,
Echarri,6201,1Q2018,1533840922095,5,5,5,5,5,5,5,5,2,
Suarez Anzorena,6201,1Q2018,1533840922096,5,5,5,4,4,5,3,3,1,
Martinez Stenger,6201,1Q2018,1533840922097,5,5,5,5,4,5,4,4,5,
Acero,6103,2Q2017,1533840922367,5,5,5,5,5,5,5,5,4,
Vorobioff,6103,2Q2017,1533840922397,5,4,5,2,3,4,4,5,1,
Porta,6103,2Q2017,1533840922411,5,5,5,4,4,4,4,5,1,
Unger,6103,2Q2017,1533840958346,5,5,5,5,5,4,5,5,3,
Palacios,6103,2Q2017,1533840958347,5,5,4,4,3,2,3,3,2,
Canepa,6103,2Q2017,1533840958349,4,4,4,4,4,3,3,4,3,
Martins,6108,1Q2018,1533840974267,5,5,5,5,5,4,3,4,3,
Alvarez Ponte,6108,1Q2018,1533840974283,5,4,4,4,4,3,3,4,3,
Wachenchauzer,7541,2Q2017,1533840978450,5,5,5,3,3,3,5,5,5,
Barrios,7541,2Q2017,1533840978452,5,5,5,5,5,5,5,5,5,
Mendez,7540,1Q2018,1533840980040,5,4,5,4,5,5,5,5,4,
Lovaglio,7540,1Q2018,1533840980043,5,5,5,5,5,5,5,5,5,
Seminara,6103,1Q2018,1533841003702,5,5,5,5,5,5,5,5,5,
Palazón,6103,1Q2018,1533841003710,5,5,5,4,5,5,4,5,5,
Lucuy Suarez,6103,1Q2018,1533841003722,5,5,5,4,4,5,5,5,5,
Estrin,6103,1Q2018,1533841003732,5,5,4,4,4,4,4,4,4,
Matteo,6201,1Q2017,1533841022085,5,5,5,1,1,1,1,2,1,
Rossi,6201,1Q2017,1533841022092,5,5,5,5,5,3,3,5,5,
Sola,6201,1Q2017,1533841022098,4,4,3,3,2,1,4,2,1,
Camuyrano,6201,1Q2017,1533841022104,4,5,5,3,3,1,1,5,1,
Fernandez,6201,1Q2017,1533841022110,5,5,5,1,1,1,2,5,3,
Merlo,8710,1Q2018,1533841064964,5,2,4,5,5,3,4,3,3,
Garea,6201,1Q2018,1533841097059,5,5,5,5,5,5,5,5,5,
Veiras,6201,1Q2018,1533841097060,5,5,5,5,5,5,4,5,4,
Duplaa,6201,1Q2018,1533841097062,5,5,3,3,2,2,3,3,2,
Vazquez,6201,1Q2018,1533841097064,5,5,5,3,2,4,3,4,2,
Fernandez,6201,1Q2018,1533841097064,5,5,5,5,5,5,5,5,3,
Repetto,6201,1Q2018,1533841117500,5,4,3,3,2,2,3,4,1,
Indelicato,6201,1Q2018,1533841117514,5,5,5,5,5,5,5,5,1,
Perez,6203,2Q2017,1533841236386,5,4,4,2,2,3,1,2,1,
Alvarez,6203,2Q2017,1533841236388,5,5,5,5,5,5,5,5,5,
Grant,6203,2Q2017,1533841236389,3,4,4,2,2,2,2,2,2,
Unger,6103,2Q2017,1533841180599,5,5,5,5,5,4,4,4,3,
Palacios,6103,2Q2017,1533841180605,5,5,5,4,5,3,4,4,3,
Canepa,6103,2Q2017,1533841180611,4,4,5,4,4,3,3,4,3,
Maulhardt,6103,1Q2018,1533841199571,5,5,5,5,5,5,5,5,5,
Puebla,6103,1Q2018,1533841199572,3,3,5,4,4,5,5,5,3,
Ramirez Oyhanarte,6103,1Q2018,1533841199573,5,5,4,4,4,5,5,5,3,
Vargas,6108,2Q2017,1533841313101,5,5,5,5,5,5,5,5,1,
Cabana,6108,2Q2017,1533841313103,5,4,5,5,5,3,5,4,1,
Palacios,6108,2Q2017,1533841313104,5,4,5,5,5,4,5,5,1,
Merlo,8710,1Q2018,1533841272035,5,5,5,3,2,1,1,3,3,
Bertagnoli,7804,1Q2018,1533841275386,4,4,4,3,4,5,3,3,5,
Corsini,6201,1Q2018,1533841278008,5,5,4,5,5,5,5,3,2,
Repetto,6201,1Q2018,1533841278015,5,4,3,1,1,1,1,2,1,
Ferrari,6201,1Q2018,1533841278018,5,5,1,1,1,1,1,1,1,
Veiga,8604,1Q2018,1533841134819,5,3,3,3,4,3,2,2,3,TGUgYmFqYSBsYSBjYWxpZGFkIGEgbGEgYXNpZ25hdHVyYSwgbWFuaXB1bGEgYSBsb3MgYWx1bW5vcyB5IHRpZW5lIHVuIG3DqXRvZG8gZGUgY2FsaWZpY2FjacOzbiBkdWRvc28uIERlIHZleiBlbiBjdWFuZG8gdG9tYSBkZWNpc2lvbmVzICJwb3IgZWwgYmllbiBkZSBsb3MgYWx1bW5vcyIgcGVybyBoYXkgcXVlIHByZXNpb25hcmxvIG11Y2hvLiBNdWNob3MgcGVuc2Ftb3MgcXVlIHN1IGVzdHJhdGVnaWEgZXMgcmVndWxhciBsYSBjYW50aWRhZCBkZSBnZW50ZSBxdWUgaW5ncmVzYSBhIGN1cnNhciBDaXJjdWl0b3MgMS4=
Contigiani,8604,1Q2018,1533841134821,3,5,4,2,2,4,3,3,1,RXMgbXV5IHNpbXDDoXRpY28gcGVybyBubyBzYWJlIGNvcnJlZ2lyIG5pIGV4cGxpY2FyLiBTdXMgbWVqb3JlcyBhcG9ydGVzIHNvbiBjb21lbnRhcmlvcyBpbnRlcmVzYW50ZXMgc29icmUgY3Vlc3Rpb25lcyBwcsOhY3RpY2FzLg==
Barreiro,8604,1Q2018,1533841134822,5,3,5,4,4,4,5,3,5,RXMgdW4gZ2VuaW8sIHVuIHByb2Zlc29yIMO6bmljby4gRXMgaW1wdW50dWFsIHBvcnF1ZSBsbGVnYSBzaWVtcHJlIDEwIG1pbnV0b3MgYW50ZXMuIEVzIGV4dHJlbWFkYW1lbnRlIGdyYWNpb3NvIHkgc2FiZSBtdWNow61zaW1vOyBkZSB2ZXogZW4gY3VhbmRvIGxvIHRyYW5zbWl0ZSBtdXkgYmllbiB5IG90cmFzIHZlY2VzIHF1ZWRhIGVuIGxhIG5hZGEgKGVuIGVzdG9zIGNhc29zIHNvbiBjdWVzdGlvbmVzIHF1ZSBubyBpbXBvcnRhbiwgcG9yIHN1ZXJ0ZSkuIEVzIHVuYSBwZXJzb25hIHF1ZSBoYXkgcXVlIGNvbm9jZXIgc2luIGR1ZGFzLg==
Roitman,8604,1Q2018,1533841134822,4,4,5,5,5,5,5,5,5,VW4gw61kb2xvLiBObyBzb2xvIHNhYmUgdW4gbW9udMOzbiBkZSBhbsOhbGlzaXMgZGUgY2lyY3VpdG9zIHkgbG8gc2FiZSB0cmFuc21pdGlyIGJpZW4sIHNpbm8gcXVlIHRhbWJpw6luIHJlc3BvbmRlIG11eSByw6FwaWRvIHBvciBlbCBjYW1wdXMgeSBzZSBxdWVkYSByZXNwb25kaWVuZG8gY29uc3VsdGFzIHRvZG8gbG8gcXVlIHNlYSBuZWNlc2FyaW8uIEVzIHByb2JhYmxlbWVudGUgZWwgbWVqb3IgZG9jZW50ZSBkZWwgY3Vyc28u
Echarri,8604,1Q2018,1533841134823,4,4,5,4,5,5,5,5,5,U2FiZSB1biBwb2NvIG1lbm9zIHF1ZSBHdXN0YXZvIHBlcm8gbGEgYnVlbmEgb25kYSBxdWUgbGUgcG9uZSBlcyBpbm1lbnNhLiBFeHBsaWNhIG11eSBiaWVuIHkgcmVzcG9uZGUgYXRlbnRhbWVudGUgY29uc3VsdGFzIHBlcnNvbmFsbWVudGUgeSBwb3IgZWwgY2FtcHVzLiBObyBoYXkgZHVkYXMgZGUgcXVlIGxlIGVuY2FudGEgbGEgbWF0ZXJpYQ==
Vargas,6108,2Q2017,1533841307139,1,2,1,1,1,1,1,2,3,
Palacios,6108,2Q2017,1533841307140,1,3,3,2,1,3,4,3,5,
Cabana,6108,2Q2017,1533841307140,1,1,1,1,1,1,3,3,4,
Jacobo,6313,2Q2017,1533841424052,5,5,5,3,3,2,3,4,1,
Aphesteguy,6313,2Q2017,1533841424053,5,5,2,3,3,2,2,2,1,
Testa Fernandez,6313,2Q2017,1533841424055,3,3,2,1,2,2,2,3,1,
Romero,6313,2Q2017,1533841424056,5,5,5,4,4,4,4,4,5,
Seminara,6103,1Q2017,1533841371737,5,5,5,5,5,5,5,5,5,U2VtaW5hcmEgZXMgdW5hIHByb2Zlc29yYSBpbmNyZcOtYmxlLCBleHBsaWNhIGLDoXJiYXJvIHkgc2llbXByZSB0dXZvIGxhIG1lam9yIHByZWRpc3Bvc2ljacOzbiBwYXJhIHJlc3BvbmRlciBjb25zdWx0YXMgKGNhc2kgc2llbXByZSBzZSBxdWVkYWJhIGRlc3B1w6lzIGRlIGFob3JhIHBhcmEgYXF1ZWxsb3MgcXVlIHF1aXNpZXJhbiBwcmVndW50YXIpLiBTdXMgY2xhc2VzIHNpZW1wcmUgZXN0dXZpZXJvbiBtdXkgb3JnYW5pemFkYXMgeSBtZSBxdWVkw7MgdW4gY3VhZGVybm8gb3JkZW5hZG8geSBjb21wbGV0by4gDQpQb3IgbW9tZW50b3MgcHVlZGUgaXIgYmFzdGFudGUgcsOhcGlkbyBwZXJvIG5pIGJpZW4gc2UgbG8gaGFjZW4gbm90YXIgKG8gc2kgZWxsYSBtaXNtYSBzZSBkYSBjdWVudGEpIHJlcGl0ZSBsbyBleHBsaWNhZG8geSBjb250aW7DumEgbcOhcyBsZW50by4gDQpVc28gbXVjaG8gZWwgY2FtcHVzIHBhcmEgc3ViaXIgYXB1bnRlcyBkZSB1dGlsaWRhZCwgZWplcmNpY2lvcyBhZGljaW9uYWxlcyB5IGVqZXJjaWNpb3MgcGFyYSBsbGV2YXIgYSBjbGFzZSBxdWUgc2VydsOtYW4gcGFyYSBkaXNjdXRpciB5IGNlcnJhciBhbGfDum4gdGVtYS4gDQpJbXBlY2FibGUuIA==
Chorny,6103,1Q2017,1533841371740,4,5,5,4,5,5,5,5,5,
Cammilleri,6108,1Q2015,1533841382320,5,5,4,5,4,4,3,3,3,
Peralta,6108,1Q2015,1533841382323,4,5,5,4,4,4,3,3,3,
Sirne,6103,1Q2018,1533841413759,5,5,5,5,5,1,2,3,1,
Juarez,6103,1Q2018,1533841413763,5,4,5,5,5,5,5,4,5,
Rickert,7144,1Q2018,1533841423194,5,5,5,5,5,5,5,5,5,
Dominguez,7144,1Q2018,1533841423201,5,5,5,3,3,3,3,5,5,
Rickert,7144,1Q2018,1533841423203,5,5,5,5,5,5,5,5,5,
Di Orio,6103,1Q2018,1533841468415,5,5,5,4,5,5,4,4,2,
Sosa,6103,1Q2018,1533841468424,5,5,4,4,4,4,4,4,2,
Muszkats,6103,1Q2018,1533841468430,5,5,5,5,5,5,5,5,4,
Cornejo,6201,2Q2017,1533841476627,5,5,5,5,5,4,4,4,1,
