doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,clase_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Piva,6203,2Q2019,1583893265870,5,4,5,2,2,5,5,4,5,
Aparicio,6203,2Q2019,1583893265870,5,5,5,5,4,4,3,4,3,
Hogert,6203,2Q2018,1583893414547,5,5,5,5,5,5,5,5,4,
Bianchetti,6203,2Q2018,1583893414548,5,4,5,3,4,4,3,5,5,
Aparicio,6203,2Q2018,1583893414549,5,3,5,3,3,4,4,3,3,
Ozols,6205,2Q2019,1583893446930,5,5,5,4,4,5,5,5,4,ZWwgcHJvZmUgdmUgbGEgZsOtc2ljYSBjdcOhbnRpY2EuIHNpIHZhcyBhIHRvZGFzIGxzIGNsYXNlcyBhcHJlbmRlcyBubyBoYXkgdnVlbHRhLiBlcyBtdXl5IHByZWRpc3B1ZXN0bw==
Puceiro,6205,2Q2019,1583893446933,4,4,2,1,1,1,1,2,1,bmVmYXN0bywgaG9ycmlibGUsIGltcHJlc2VudGFibGUuIE5vIHNhYmUgbmFkYSwgZXMgdW4gY2hhbXV5ZXJvLCBjb3BpYSBlanMgZGUgbGlicm9zISEh
Mendez,7508,2Q2019,1583893461381,4,4,5,3,4,5,4,5,4,RXMgdW4gYnVlbiBkb2NlbnRlLCBkZSBsb3MgcXVlIHNlIHByZW9jdXBhbiBwb3IgbGEgY2FycmVyYS4gQSBtaSBsYSBtYXRlcmlhIG11Y2hvIG5vIG1lIGludGVyZXNvIHBlcm8gZXMgdW5hIGN1ZXN0aW9uIGRlIGludGVyZXMgcGVyc29uYWwsIG5vIG1lIGVuZ2FuY2hlLiBNZSBodWJpZXJhIGd1c3RhZG8gdmVyIGFsZ28gbWFzIGNlcmNhIGRlbCB1c28gImNvdGlkaWFubyIuICBBaGhoLCBubyBtZSBhY29yZGFiYSBkZSBjb21vIGVyYSBlbCB2aWRlbyBxdWUgbW9zdHJvIGVuIGNsYXNlIHkgbm8gcHVkZSBleHBsYXlhcm1lIGJpZW4gZW4gZXNlIGVqZXJjaWNpbyBkZWwgcGFyY2lhbCEgVGVuZHJpYW4gcXVlIGNvbXBhcnRpcmxvIHBvciBsYSBsaXN0YS4gSWd1YWwgZXN0YSBidWVuYSBsYSBtb2RhbGlkYWQgZGUgY3Vyc2FkYSBkZSBsYSBtYXRlcmlhLg==
Simó Piqueres,7508,2Q2019,1583893461387,5,5,5,4,3,4,5,5,5,QnVlbiBkb2NlbnRlLCBzZSBub3RhIHF1ZSBzYWJlIHVuIG1vbnRvbiB5IHF1ZSBxdWllcmUgdHJhbnNpbWl0aXJsby4gU2kgdGUgaW50ZXJlc2EsIHBvZGVzIGFwcmVuZGVyIGNvbiBlbC4gRW4gbWkgY2FzbyBubyBtZSBlbmdhbmNobyBsYSBtYXRlcmlhLCBhc2kgcXVlIG1lIGxpbWl0ZSBhIGxlZXIgcGFyYSBlbCBwYXJjaWFsIHkgY3VtcGxpciBjb24gbG9zIHRwcy4gTWUgaHViaWVyYSBndXN0YWRvIHVzYXIgZWwgc2lzdGVtYSBvcGVyYXRpdm8gYSB1biBtYXMgYWx0byBuaXZlbC4gTG9zIHByaW1lcm9zIGxhYnMgaW5kaXZpZHVhbGVzIGVzdHV2aWVyb24gYnVlbm9zIHBhcmEgZW50ZW5kZXIgbGEgQVBJIGRlbCBzaXN0ZW1hIG9wZXJhdGl2bywgbG9zIFRQcyBkZSBKT1MgbWUgcGFyZWNpZXJvbiBkZW1hc2lhZG8uIA==
Ozols,6205,2Q2018,1583893556376,5,5,5,5,4,4,4,4,5,
Fernandez,6205,2Q2018,1583893556380,4,3,1,1,1,2,2,1,2,
Slaifstein,6205,2Q2018,1583893556383,1,1,3,2,3,3,3,3,4,
Francesconi,7647,2Q2019,1583893601555,5,5,5,5,5,5,5,5,5,
Juarez,7541,1Q2019,1583893719422,3,4,1,1,2,2,2,1,3,TXV5IGRlc29yZ2FuaXphZG8geSBnZW5lcmEgY29tcGV0ZW5jaWEuIFBpZGUgY29zYXMgYWJzdXJkYXMgcGFyYSBhcHJvYmFyIGxhIG1hdGVyaWEuIA==
Aveleyra,6201,2Q2019,1583893912185,5,5,5,5,5,5,5,5,5,RXhwbGljw7MgZXhjZWxlbnRlIGxhIHBhcnRlIGRlIG9uZGFzIHkgb3B0aWNhLCBtdXkgY2xhcmEgeSBhbCBwdW50by4=
Barasch,6201,2Q2019,1583893912191,5,2,2,4,3,5,5,3,1,
Chiabrando,6201,2Q2019,1583893912203,5,5,5,5,5,5,5,5,5,TXV5IHByZWRpc3B1ZXN0YSBhIGFjbGFyYXIgbGFzIGR1ZGFzIGRlIHRvZG9zLCB5IHNlIHRvbWEgZWwgdGllbXBvIHBhcmEgcXVlIHJlYWxtZW50ZSBsbyBlbnRpZW5kYXMuIE11eSBidWVuYSBkb2NlbnRlLg==
Racero,6201,2Q2019,1583893912208,5,5,5,4,4,5,5,5,5,
Brumovsky,6201,2Q2019,1583893912213,5,5,5,5,4,5,4,5,5,U2UgdG9tYSBlbCB0aWVtcG8gcGFyYSBhY2xhcmFyIGxhcyBkdWRhcywgeSBlbiBsb3MgdHBzIGRhYmEgdW5hIG1hbm8gYSB2ZWNlcyBtdXkgbmVjZXNhcmlhLg==
Pedersen,8670,1Q2019,1583894125697,5,5,5,1,3,3,5,5,5,
Burgos,8670,1Q2019,1583894125698,1,1,1,1,1,1,1,1,5,
Pampillo,6203,2Q2019,1583894213715,5,5,5,5,5,4,4,4,4,bGEgbWVqb3IgdGXDs3JpY2EgeSBwcsOhY3RpY2EgZGVsIGRlcGFydGFtZW50byBkZSBmw61zaWNhLi4gbGVqb3MgbGVqb3M=
Michalewicz,6203,2Q2019,1583894213718,5,5,5,5,5,5,5,5,5,cmUgYXRlbnRvIHkgZXN0w6Egc2llbXByZS4gc2FiZSB1bmEgYm9jaGEsIGVsIG1lam9yIGF5dWRhbnRlIGRlIGxhIGZpdWJhIQ==
Pedersen,8670,2Q2019,1583894340849,5,5,5,4,3,2,2,4,5,
Burgos,8670,2Q2019,1583894340859,1,2,1,1,1,1,2,1,1,
Mora (Tomás),8670,2Q2019,1583894340868,5,5,5,5,5,5,5,5,5,
Zarauz (Nacho),8670,2Q2019,1583894340875,5,5,5,5,5,5,5,5,5,
Baliña,6109,1Q2019,1583894553125,5,5,5,5,4,4,5,5,1,QmFzdGFudGUgZGVzcHJvbGlqbyB5IGVuIGNsYXNlIGxvIMO6bmljbyBxdWUgaGFjZXMgZXMgY29waWFyLCBwZXJvIGxsZWdhcyBhIHR1IGNhc2EsIHJldmlzYXMgdHVzIGFwdW50ZXMgeSB0ZSBkYXMgY3VlbnRhIHF1ZSB0b2RvIHRpZW5lIHNlbnRpZG8uIExvIHN1cGVyIHJlY29taWVuZG8u
Sosa,6109,1Q2019,1583894553132,5,5,5,5,4,4,5,5,5,VmEgdW5hIGhvcmEgYW50ZXMgdG9kYXMgbGFzIGNsYXNlcyBhIHJlc3BvbmRlciBsYXMgZHVkYXMsIHNpZW1wcmUgcHJlZGlzcHVlc3RhIHkgY29uIGdhbmFzIGRlIGF5dWRhci4gU2kgbm8gZnVlcmEgcG9yIGVsbGEgbm8gaHViaWVyYSBwb2RpZG8gYXByb2JhciBsYSBtYXRlcmlhLg==
Cosatto Ammann,6109,1Q2019,1583894553138,5,5,5,5,5,5,5,5,5,
Pampillo,6203,2Q2018,1583894571684,5,5,5,5,5,5,5,5,5,
Roht,6203,2Q2018,1583894571697,5,5,5,5,5,5,5,5,5,
Michalewicz,6203,2Q2018,1583894571706,5,5,5,5,5,5,5,5,5,
Benitez,7503,1Q2019,1583894606539,5,4,5,4,5,3,4,5,3,TGEgbWF0ZXJpYSBqdXN0byBjYW1iaW8gcGFyYSBiaWVuIGN1YW5kbyBsYSBjdXJzZS4gQmVuaXRleiBlcyB1biBidWVuIHByb2Zlc29yLCBzYWJlIHVuIG1vbnRvbiB5IG51bmNhIHNlbnRpIHF1ZSBtZSBjaGFtdXllIGVuIHVuYSByZXNwdWVzdGEgY29tbyBtZSBwYXNvIGVuIG90cmFzIG1hdGVyaWFzLiBTb24gY2xhc2VzIGxhcmdhcyBoYXN0YSB0YXJkZSB5IGEgdmVjZXMgbm8gdGUgY2llcnJhbiB0b2RvcyBsb3MgdGVtYXMsIHBlcm8gdGUgY29udmllbmUgbGVlcmxvcyB5IGhhY2VybGUgcHJlZ3VudGFzIHBhcmEgcHJlcGFyYXIgZWwgZmluYWwgKCBvIGlyIHBvciBjb25zdWx0YXMgYW50ZXMpLiBTaWVtcHJlIG1lIHBhcmVjaW8gbXV5IGNsYXJvIHBhcmEgcmVzcG9uZGVyIHkgY29uIGxhIG1lam9yIG9uZGEuIEVzIGV4aWdlbnRlIHBhcmEgZWwgZmluYWwsIHBlcm8gc2UgcHVlZGUgYXByb2Jhci4g
Mansilla,7503,1Q2019,1583894606546,4,4,3,3,2,4,3,3,4,VmEgbXV5IHJhcGlkbyBjdWFuZG8gaGFjZSB1biBlamVyY2ljaW8gZW4gZWwgcGl6YXJyb24geSBhIHZlY2VzIG1lZGlvIHF1ZSB0ZSBjb250ZXN0YWJhIGNvbiBtYWwgdG9uby4gSWd1YWwgbGUgaGFjZXMgcHJlZ3VudGFzIHkgdnVlbHZlIHBhcmEgYXRyYXMgeSB0ZSBsbyBleHBsaWNhLCBubyB0aWVuZSBwcm9ibGVtYS4gQSB2ZWNlcyBlcmEgbWVkaW8gcGljYW50ZSB5IGEgdmVjZXMgYW5kYWJhIGRlIGJ1ZW4gaHVtb3IgcmVsYWphZG8=
Raducci,7503,1Q2019,1583894606551,5,5,5,4,4,4,3,4,3,RnVlIGZ1bmRhbWVudGFsIHF1ZSByZXN1ZWx2YSBsb3MgZWplcmNpY2lvcyBkZSBhc3NlbWJsZXIgZW4gY2xhc2UuIEhheSBxdWUgcHJlc3RhcmxlIGF0ZW5jaW9uIGEgZXNvLiBBIHZlY2VzIG1lIHBlcmRpYSBwZXJvIGJ1ZW5vLCBkZXNwdWVzIGxvIHN1YmVuIGEgbGEgcGFnaW5hIHkgbG8gdGVuaWEgcGFyYSByZWxlZXIuIEJ1ZW5hIG9uZGEsIHRlIGF5dWRhIHNpZW1wcmUgcXVlIGxlIHByZWd1bnRhcyBwb3IgdW4gZWplcmNpY2lvIG8gcG9yIGVsIHRw
Be,7503,1Q2019,1583894606558,5,5,5,5,4,4,4,5,3,RGlvIHVuYSBjbGFzZSBwcmFjdGljYSBwYXJhIGVsIHBhcmNpYWwgeSBkZXNwdWVzIGxvcyB0ZW1hcyBkZSBBUk0gcGFyYSBlbCBmaW5hbC4gRXN0dXZvIGJ1ZW5vIGVsIG1hdGVyaWFsLCBxdWUgdGVuZ2EgdW4gcGRmIHkgdW5hIHNlcmllIGRlIGVqZXJjaWNpb3MgcGFyYSBoYWNlciB5IGNvcnJlZ2lyLiBNZSBheXVkbyBiYXN0YW50ZS4gU2llbXByZSBidWVuYSBvbmRhLiA=
Pedersen,8670,2Q2019,1583895043847,5,5,5,1,2,1,3,5,5,
Mora (Tomás),8670,2Q2019,1583895043851,5,5,5,5,5,5,5,5,5,
Zarauz (Nacho),8670,2Q2019,1583895043853,5,5,5,5,5,5,5,5,5,
Pedersen,8670,2Q2019,1583895157505,5,5,5,2,2,1,2,3,1,
Mora (Tomás),8670,2Q2019,1583895157509,5,5,5,5,5,5,5,5,5,
Zarauz (Nacho),8670,2Q2019,1583895157520,5,5,5,5,5,5,5,5,5,
Bello,6109,2Q2019,1583895272091,5,4,5,5,5,5,5,4,4,VW4gY3JhY2sgdG90YWwsIGVzIG9yZ2FuaXphZG8sIGV4cGxpY2EgbXV5IGJpZW4sIGxsZWdhIHBlcmZlY3RvIGNvbiBsb3MgdGVtYXMsIGFudGVzIGRlIGxvcyBwYXJjaWFsZXMgaGFjZSBjbGFzZXMgZXN0aWxvIHRhbGxlciBlbiBsb3MgcXVlIHRyYWUgcGFyY2lhbGVzIHZpZWpvcyB5IHJlY29taWVuZGEgcXVlIHJlc29sdmFtb3MgYWxndW5vcyBlamVyY2ljaW9zLiBEZSBsbyBtZWpvciBxdWUgaGF5IGVuIGVzdGEgZmFjdWx0YWQu
Puebla,6109,2Q2019,1583895272093,3,3,4,4,4,4,3,3,3,
López,6109,2Q2019,1583895272094,4,4,5,3,3,3,2,5,3,
Francois,6302,1Q2019,1583895504285,3,3,3,3,3,2,3,2,3,
Aphesteguy,6302,1Q2019,1583895504288,3,3,3,3,3,3,3,3,3,
Fanchiotti,6302,1Q2019,1583895504290,5,4,4,3,4,4,3,3,3,TG9zIGN1cnNvcyBwcsOhY3RpY29zIGRlIFNhbmRyYSBzb24gbG9zIG3DoXMgZXhpZ2VudGVzIGNvbiBsb3MgcGFyY2lhbGl0b3MgcGVybyB0ZSBkZWphbiBiaWVuIHByZXBhcmFkbyBwYXJhIGxvcyBwYXJjaWFsZXM=
Unger,6103,1Q2019,1583895567960,5,5,5,5,5,5,5,5,2,VW4gYW1vciB5IHRpZW5lIG11Y2hhIHBhY2llbmNpYSA=
Palacios,6103,1Q2019,1583895567963,5,4,5,5,5,5,5,3,2,
Fontela,7507,2Q2018,1583895555323,5,4,4,2,2,2,3,3,3,TGFzIHRlb3JpY2FzIHNvbiBtdXkgYWJ1cnJpZGFzLiBObyB2YSBlc3RhciBkb3MgaG9yYXMgeSBtZWRpYSBvIG1hcywgc2luIGludGVydmFsbywgbWlyYW5kbyBwcHRzLiBBZGVtYXMsIGRlc3B1ZXMgZGUgdW4gcGFyIGRlIGNsYXNlcyBzZSBlbXBpZXphbiBhIHJlcGV0aXIgbG9zIG1pc21vcyB0ZW1hcywgc2luIGVqZW1wbG9zIHByYWN0aWNvcyBjb25jcmV0b3MgbyBzaW4gZXhwbGljYXIgZWwgcG9yIHF1ZSAoY29uIGxhIGZhbHRhIGRlIGVqZXJjaWNpb3MgcXVlIGhheSBubyBlbnRlbmRlcywgZXMgdG9kbyBtdXkgYWJzdHJhY3RvKS4gRGVzdGFjbyBsYSB2b2x1bnRhZCBkZSBtb3N0cmFyIG51ZXZvcyB0ZW1hcywgbG8gcXVlIGVzIFF1YWxpdHkgQ29udHJvbCwgVERELCBQYXRyb25lcyBkZSBEaXNlw7FvLCBwZXJvIGZhbHRhIHByYWN0aWNhLiA=
Degiovannini,7507,2Q2018,1583895555330,4,4,4,3,3,3,3,3,3,RXhwbGljbyB1biBlamVyY2ljaW8gY3JlbyBxdWUgZGVsIEdhbGFnYSBxdWUgc2UgdGVybWlubyBjb21wbGljYW5kbyBkZW1hc2lhZG8geSBubyBzZSBlbnRlbmRpby4gSW5zaXN0byBlbiBxdWUgYnVzcXVlbiBlamVtcGxvcyBzZW5jaWxsb3MgcGFyYSBtb3N0cmFyIHRvZG8gbG8gcXVlIGV4cGxpY2Fu
Cornejo,6201,1Q2018,1583895598143,5,5,1,5,4,5,4,1,1,
Sola,6201,1Q2018,1583895598149,5,4,5,3,4,2,4,4,1,
Papa,6201,1Q2018,1583895598154,4,5,3,1,1,4,3,5,1,
Perez Berro,7501,1Q2019,1583895632114,5,5,5,5,4,4,4,4,5,RXhpZ2VudGUgY29uIGxvcyB0cHMgcGVybyBlcyBwcm9tb2Npb25hYmxlIHkgbG9zIHBhcmNpYWxlcyBzb24gaWd1YWxlcyBhIGxvcyBtb2RlbG9zIHF1ZSBtYW5kYSA=
Bergamini,6110,1Q2019,1583895633988,4,5,5,3,4,5,4,5,4,
Maulhardt,6110,1Q2019,1583895633991,4,5,4,4,5,5,5,5,5,
Peña,6110,1Q2019,1583895633993,5,5,5,4,4,5,5,5,4,VW5hIGdlbmlhIE5lbGx5LCBzaWVtcHJlIGRhIHRpcHMgc29icmUgY29tbyByZXNvbHZlciBsb3MgZWplcmNpY2lvcy4gQW50ZXMgZGUgbGFzIGNsYXNlcyByZXN1ZWx2ZSB1biBtb250b24gZGUgY29uc3VsdGFzIHNpZW1wcmUgY29uIGxhIG1lam9yIHByZWRpc3Bvc2ljacOzbi4=
Monzo,6110,1Q2019,1583895633995,5,4,5,2,1,2,2,4,3,
Hansen,6109,1Q2019,1583895911509,5,5,5,4,5,5,5,5,1,
Vera,6109,1Q2019,1583895911530,5,5,5,5,5,5,5,5,1,
Levitán,6109,1Q2019,1583895911548,4,4,5,5,3,5,5,5,3,
Schwarz,7512,1Q2019,1583895984044,5,5,5,4,3,3,4,4,4,RXMgdW4gYnVlbiBwcm9mZXNvciBwZXJvIGxhbWVudGFibGVtZW50ZSBkYSB0ZW1hcyBiYXN0YW50ZXMgYWJ1cnJpZG9zLiBMYXMgY2xhc2VzIGVzdGFuIGxsZW5hcyBkZSBkZW1vc3RyYWNpb25lcyBtYXRlbcOhdGljYXMgc29icmUgbG9zIG3DqXRvZG9zIG51bcOpcmljb3Mu
Sosa,7512,1Q2019,1583895984047,4,4,2,3,3,4,4,3,4,
Suriano,7512,1Q2019,1583895984049,4,5,5,4,5,4,3,5,5,R2VuaWEgdG90YWwsIHNlIG5vdGEgcXVlIGxlIGd1c3RhIGxhIG1hdGVyaWEuIEV4cGxpY2EgYmFzdGFudGUgYmllbiB5IGxlIG1ldGUgbXVjaGEgYnVlbmEgb25kYQ==
Hamkalo,8637,1Q2019,1583896089593,5,4,3,2,3,2,2,3,1,
Santi,8637,1Q2019,1583896089614,1,1,2,1,2,4,2,2,1,
Perez Masci,8637,1Q2019,1583896089635,5,5,5,5,5,4,4,4,5,
Natale,8637,1Q2019,1583896089651,4,4,3,3,3,2,4,4,2,
Cachile,6110,2Q2018,1583896217043,5,5,5,3,5,5,5,5,2,
Calzon,6110,2Q2018,1583896217059,5,3,4,3,2,2,3,4,1,
Rizzo,6110,2Q2018,1583896217071,1,1,1,1,1,1,1,1,1,
Maulhardt,6110,2Q2018,1583896217084,5,5,5,5,5,5,5,5,5,
Rosa,6602,2Q2018,1583896307216,5,5,5,5,5,5,5,5,5,
Cervetto,6602,2Q2018,1583896307231,5,5,5,4,5,3,4,5,2,
Dumery,6602,2Q2018,1583896307245,5,5,5,5,5,5,5,5,5,
Pampillo,6203,1Q2019,1583896736786,5,4,5,5,5,5,5,5,2,
Roht,6203,1Q2019,1583896736791,4,5,5,5,5,5,5,5,5,
Bello,6109,2Q2019,1583896946917,5,5,5,5,5,5,5,5,5,
Puebla,6109,2Q2019,1583896946918,5,5,5,5,5,5,5,5,5,
Barral,6109,2Q2019,1583896946918,5,5,5,5,5,5,5,5,5,
López,6109,2Q2019,1583896946919,5,5,5,5,5,5,5,5,5,
Suarez,7507,1Q2019,1583897048211,4,4,4,4,3,3,3,2,3,QWxnb3JpdG1vcyAzIGVzIGRlIGxhcyBwZW9yZXMgbWF0ZXJpYXMgcXVlIHR1dmUsIFBhYmxvIFN1YXJleiBlcyB1bm8gZGUgbG9zIHByb2Zlc29yZXMgbcOhcyBkZWNlbnRlcyBkZW50cm8gZGUgZWxsYS4gRXMgYmFzdGFudGUgYnVlbmEgb25kYSB5IHN1ZWxlIGV4cGxpY2FyIGNvbiBjbGFyaWRhZC4gTGFzIGNsYXNlcyBzb24gbcOhcyBvIG1lbm9zIGxsZXZhZGVyYXMgYXVucXVlIHNlIHZ1ZWx2ZW4gYWJ1cnJpZGFzIGVuIG11Y2hvcyBtb21lbnRvcy4gTG8gYnVlbm8gZXMgcXVlIGNhc2kgc2llbXByZSBzZSB0ZXJtaW5hYmEgYW50ZXMgZGVsIGhvcmFyaW8gZXN0aXB1bGFkby4=
Sanchez,7507,1Q2019,1583897048212,4,3,2,3,3,3,3,2,1,VW4gZGVzYXN0cmUgZGUgcHJvZmVzb3IuIFVuYSBsYXN0aW1hIHBvcnF1ZSBzZSBub3RhIHF1ZSBsZSBlbmNhbnRhbiBsb3MgdGVtYXMgeSBtdWNoYXMgdmVjZXMgc2UgZW1vY2lvbmEgY29uIGxhcyBleHBsaWNhY2lvbmVzLiBDb21vIGNvcnJlY3RvciBkZSB0cCBwcmFjdGljYW1lbnRlIG5vIG5vcyBkacOzIGRldm9sdWNpb25lcyBzZW1hbmEgYSBzZW1hbmEsIGFsIGhhY2VybGUgY29uc3VsdGFzIGVzIGRpZsOtY2lsIGRlIGVudGVuZGVyIHF1ZSBxdWllcmUgZGVjaXIsIHRvdGFsbWVudGUgc3ViamV0aXZvIGVuIGxhIGNvcnJlY2Npw7NuIGRlIGxvcyBwYXJjaWFsZXMsIGxvcyBjdWFsZXMgbm8gc2FiZXMgY29tbyBoYWNlciBwYXJhIGFwcm9iYXIgcG9ycXVlIG51bmNhIHRlIGV4cGxpY2FuIGRlIGFudGVtYW5vIHF1ZSBjb3NhcyBlc3RhbiBiaWVuIHkgcXVlIG5vLg==
Rodríguez Massuh,7507,1Q2019,1583897048213,4,4,3,3,3,3,3,3,3,
Unger,6103,1Q2019,1583897283626,5,4,5,5,5,4,5,5,4,
Palacios,6103,1Q2019,1583897283630,5,5,5,5,5,4,4,5,5,
Grynberg,6103,1Q2019,1583897923616,5,5,5,5,5,5,5,5,1,
Perez Berro,7501,2Q2019,1583898334245,5,5,5,5,5,5,5,5,5,
Cardozo,7502,1Q2016,1583899518948,5,2,2,4,3,4,5,2,5,
Roasio,7502,1Q2016,1583899518949,4,4,4,3,3,3,3,3,3,
Moreno,7502,1Q2016,1583899518949,5,4,4,4,4,3,5,3,4,
Prelat,8105,1Q2016,1583899795514,4,5,4,4,2,2,5,3,2,
Rosito,8105,1Q2016,1583899795514,4,4,4,2,2,4,2,4,3,
Leone,6203,2Q2016,1583899924520,5,5,2,4,2,1,5,1,2,
Silveyra,6203,2Q2016,1583899924520,4,4,4,5,5,4,5,4,3,
Di Luozzo,6203,2Q2016,1583899924521,4,4,4,2,4,3,3,4,3,
Kuhn,7502,1Q2017,1583900367292,4,3,4,3,4,5,4,4,3,
Hinojosa Rojas,7502,1Q2017,1583900367293,4,4,4,3,3,3,4,4,3,
Moreno,7502,1Q2017,1583900367294,5,4,4,4,5,4,5,4,5,
Solana,9705,2Q2019,1583900572445,4,3,4,4,4,5,4,4,3,
Machado,9705,2Q2019,1583900572448,2,3,4,4,4,4,4,4,2,
Cernuschi Frias,8655,1Q2019,1583900930648,4,3,4,3,4,4,5,4,3,
Pfefferman,8655,1Q2019,1583900930648,4,3,4,3,4,4,4,4,4,
Zola,8606,2Q2019,1583901405282,5,5,4,5,3,4,5,3,2,
Kelly,8606,2Q2019,1583901405284,4,4,4,2,5,2,5,4,4,
Bongiovanni,8606,2Q2019,1583901405285,4,3,5,3,4,4,4,4,3,
Luvini,9001,2Q2019,1583901522440,5,5,5,5,5,5,5,5,3,
Zoppi,9001,2Q2019,1583901522445,5,5,5,5,5,5,5,5,4,
Cruz,8670,2Q2019,1583901950647,5,4,4,3,4,5,5,3,3,
Tolon Estarelles,8670,2Q2019,1583901950648,5,4,4,3,4,5,5,3,3,
Pedersen,8670,2Q2019,1583901950649,3,4,3,3,3,3,3,3,3,
Burgos,8670,2Q2019,1583901950650,4,4,4,4,4,5,3,3,3,
Mora (Tomás),8670,2Q2019,1583901950651,5,5,5,5,5,5,4,3,3,
Zarauz (Nacho),8670,2Q2019,1583901950652,5,4,4,4,5,5,3,3,3,
Gonzalez,8105,2Q2017,1583902045493,5,4,4,3,3,3,4,3,3,
Bergamini,8105,2Q2017,1583902045495,5,5,4,4,4,4,4,4,3,
Peña,8105,2Q2017,1583902045496,4,4,4,4,3,4,5,3,3,
Maulhardt,8105,2Q2017,1583902045497,5,5,3,4,5,5,5,3,3,
Ferrini,6201,1Q2018,1583909122921,5,3,1,1,1,2,1,1,1,VW4gYXNjbyBkZSBwcm9mZXNvciwgY2hpc3RlcyB5IGNvbWVudGFyaW9zIG11eSBtYWNoaXN0YXMsIG1hcyBkZSBsYSBtaXRhZCBkZSBsYXMgbXVqZXJlcyBkZSBtaSBjbGFzZSBkZWphcm9uIGxhIG1hdGVyaWEgcG9yIGVzby4gRWwgbml2ZWwgZGUgc3VzIHRlb3JpY2FzIGVzIGJhamlzaW1vIHBvcnF1ZSBkYSBwb2NvIGNvbnRlbmlkbyB5IHNlIGVucnJvc2NhIGVuIHBhdmFkYXMgeSBzdXMgcGFyY2lhbGVzIHNvbiBsb3MgbWFzIGRpZmljaWxlcyBkZSB0b2RhcyBsYXMgY2F0ZWRyYXM=
Unger,6103,2Q2018,1583909952664,5,5,5,5,5,3,4,5,5,VHJlbWVuZG9zIGdyYWZpY29zLCBtdXkgY2xhcmEgYSBsYSBob3JhIGRlIGV4cGxpY2FyLCBtdXkgYW1hYmxlLCBlcyBjb21vIHR1IGFidWVsYS4gQ2xhc2UgbGxldmFkZXIgeSBtdXkgcmljYSBlbiBjb250ZW5pZG8gdGVvcmljbywgbXV5IGJ1ZW5hIHByYWN0aWNhLiBFcyBtdXV1dXkgZXhpZ2VudGUgY29ycmlnaWVuZG8uIEVzIHVuIGN1cnNvIHBhcmEgaXIgZGUgb3llbnRlIHkgYW5vdGFydGUgZW4gb3RybyBxdWUgY29ycmlqYW4gdHJhbmtpIHRpcG8geml0dG8gc2VtaW5hcmEgdmFyZGFuZWdhLiBUZSB2YSBhIGhhY2VyIGFwcm9iYXIgbGEgbWF0ZXJpYSBzZWd1cm8=
Palacios,6103,2Q2018,1583909952666,5,5,5,5,5,5,5,5,3,RGVtYXNpYWRvIGNsYXJhLCBtdXkgcHJvbGlqYSwgbXV5IG9yZ2FuaXphZGEsIG11eSBhbWFibGUsIG11eSBjb3JyZWN0YSwgbXV5IHByYWN0aWNhLiBBIGxhIFBhdG8gZGFtZWxhIHNpZW1wcmUsIGltcGVjYWJsZSBwcm9mZXNvcmEsIHNveSBzdSBmYW4=
Caracciolo,6301,2Q2018,1583910177587,5,3,1,1,1,1,1,3,1,VW4gZGVzYXN0cmUgcXVlIGRpcmlnZSBsYSBtYXRlcmlhIHkgbmFkaWUgZW50aWVuZGUgY29tby4gTm8gc2FiZSBuYWRhIGRlIHF1aW1pY2EsIHNvbG8gbGVlIHBvd2VycG9pbnRzLiBTYXF1ZW5sbyBkZSBsYSBmYWN1bHRhZCB5YSwgdGUgYXJydWluYSBsYSBtYXRlcmlhIA==
De Celis,6301,2Q2018,1583910177587,1,5,3,5,5,5,5,5,3,
Nuñez,6301,2Q2018,1583910177588,5,5,5,3,3,4,3,5,5,
Andronikov,6301,2Q2018,1583910177588,5,5,5,5,5,5,5,5,5,Q2FwbyBlbCBSdXNv
Sauque,7003,2Q2019,1583916213495,1,1,1,1,1,1,1,1,3,
Perfumo,7003,2Q2019,1583916213498,5,5,5,5,5,5,5,5,5,
Rey,7003,2Q2019,1583916213501,5,5,5,3,5,5,5,5,5,
Natalino,7003,2Q2019,1583916213503,4,1,2,2,2,2,2,2,5,
Juarez,7541,2Q2019,1583917682136,1,1,1,1,1,1,1,1,1,
Juarez,7541,2Q2019,1583917808289,5,5,5,5,5,5,5,5,5,
Juarez,7541,2Q2019,1583918130056,5,5,5,5,5,5,5,5,5,
Sirne,6103,2Q2019,1583918355168,5,5,5,5,5,5,5,4,2,
Juarez,6103,2Q2019,1583918355169,5,5,5,4,5,5,5,5,5,
Corsini,6201,1Q2019,1583925463415,5,5,2,3,3,3,2,1,1,
Bellocq,6201,1Q2019,1583925463418,5,5,4,2,1,2,2,3,1,
Reboredo,6201,1Q2019,1583925463421,4,4,4,3,3,2,4,4,2,
,6201,1Q2019,1583925463424,5,5,1,2,2,4,1,1,1,
Maulhardt,6103,1Q2019,1583925637802,5,5,5,5,5,4,5,5,4,
Puebla,6103,1Q2019,1583925637808,5,5,4,4,4,4,5,4,5,
Santiago,6203,2Q2019,1583925737682,5,5,5,3,4,4,4,3,3,
Urdaniz,6203,2Q2019,1583925737685,5,5,4,3,3,4,3,4,5,
Maulhardt,6103,2Q2019,1583928199624,5,5,4,5,4,3,5,3,2,
