doc,mat,cuat,tstamp,asistencia,cumple_horarios,buen_trato,calse_organizada,claridad,fomenta_participacion,panorama_amplio,acepta_critica,responde_mails,comentarios
Natale,8603,1Q2018,1533871637126,4,4,1,1,1,4,1,3,3,U2UgbGEgcGFzYSBpbnRlcnJ1bXBpZW5kbyBsYSBjbGFzZSBwYXJhIGRlY2lyIGNvc2FzIHF1ZSBubyB0aWVuZW4gbmFkYSBxdWUgdmVyLiBNdXkgZGVzdWJpY2Fkby4=
Santamartina,8711,2Q2017,1533871850915,5,5,5,5,5,5,5,5,1,
Sande,8711,2Q2017,1533871850921,5,5,5,5,5,5,5,5,1,
Porcellana,8711,2Q2017,1533871850926,5,5,5,5,5,5,5,5,5,
Cachile,6110,1Q2016,1533871861154,4,4,5,5,4,3,3,4,2,RXMgYnVlbm8sIHJlY29tZW5kYWJsZSBjw6F0ZWRyYQ==
Calzon,6110,1Q2016,1533871861156,3,4,4,2,2,2,2,2,3,
Rizzo,6110,1Q2016,1533871861159,2,1,4,2,1,1,2,2,3,
Maulhardt,6110,1Q2016,1533871861162,5,5,4,5,5,5,5,3,5,
Santamartina,8711,1Q2018,1533871889979,5,5,5,5,5,5,5,5,1,
De Piero,8711,1Q2018,1533871889989,5,5,5,5,5,5,5,5,1,
Veiga,6606,1Q2018,1533871893029,5,4,1,2,3,1,2,1,1,UGFyYSBhcHJvYmFyIHN1cyBleMOhbWVuZXMgbm8gcG9kZXMgdGVuZXIgbmluZ8O6biBlcnJvciwgbG8gY3VhbCBlcyBiYXN0YW50ZSBkaWbDrWNpbCBwb3JxdWUgdG9tYSBwcmVndW50YXMgdGVvcmljYXMgcXVlIG5vIHNlIHZpZXJvbiBlbiBjbGFzZSBuaSBlc3RhbiBlbiBlbCBsaWJybyByZWNvbWVuZGFkbw==
Barreiro,6606,1Q2018,1533871893039,5,3,2,1,2,4,4,4,3,
Contigiani,6606,1Q2018,1533871893048,4,4,4,1,1,3,1,3,1,
Roitman,6606,1Q2018,1533871893055,5,5,5,5,5,5,5,5,5,
Echarri,6606,1Q2018,1533871893062,5,5,5,5,5,5,5,5,5,
Ulloa,6606,1Q2018,1533871893068,5,5,5,5,5,5,5,5,5,
Sassano,7512,2Q2016,1533871934490,4,4,4,3,3,2,2,3,3,QnVlbmEgcHJvZmVzb3JhIHBhcmEgZXN0ZSB0aXBvIGRlIG1hdGVyaWEgbWVkaW8gcm9ibw==
Bello,7512,2Q2016,1533871934491,5,5,4,4,4,4,2,3,4,
Sassano,7512,1Q2018,1533872037355,5,5,5,5,5,5,5,5,5,
Payva,7512,1Q2018,1533872037359,5,5,5,5,5,5,5,5,5,
Bello,7512,1Q2018,1533872037362,5,5,5,5,5,5,5,5,5,
Porta,7512,1Q2018,1533872037365,5,5,5,5,5,5,5,5,5,
Dadamia,8201,1Q2018,1533872038519,5,5,5,5,5,5,5,5,1,
Villafañe,8201,1Q2018,1533872038525,5,5,5,5,5,5,5,5,5,
Rossi,8201,1Q2018,1533872038530,1,5,5,1,1,1,1,1,5,Tm8gYXNpc3TDrWEgYSBsYXMgY2xhc2VzLCBlcmEgZWwgZW5jYXJnYWRvIGRlbCBDYW1wdXM=
Delfino ,8201,1Q2018,1533872038536,5,5,5,5,5,5,5,5,5,
Aparicio,8201,1Q2018,1533872038541,5,5,5,5,4,4,4,4,5,
Porta,8301,1Q2017,1533872094544,5,5,5,5,5,5,5,5,1,
Irianni,8301,1Q2017,1533872094552,5,5,5,5,5,5,5,5,1,
Boudin,8301,1Q2017,1533872094558,5,5,5,5,5,5,5,5,1,
Maioco,8302,1Q2018,1533872097284,5,4,4,2,4,3,3,3,1,
Payva,8302,1Q2018,1533872097291,5,5,5,5,3,2,2,3,4,
Piccone,8302,1Q2018,1533872097299,5,5,5,3,3,3,3,3,4,
Rosa,6602,2Q2016,1533872101683,5,5,4,3,2,2,2,3,3,
Cervetto,6602,2Q2016,1533872101684,4,3,4,4,4,4,3,3,3,
Dumery,6602,2Q2016,1533872101686,4,3,3,3,3,2,2,3,3,
Mazzeo,6670,2Q2016,1533872171257,5,5,5,2,2,1,2,3,2,
Zambrano,6670,2Q2016,1533872171259,5,5,5,5,5,5,5,5,2,
Fontana,8201,1Q2018,1533872195166,5,5,5,4,4,4,4,4,3,
Rossi,8201,1Q2018,1533872195167,5,5,5,4,4,4,4,4,5,
Sola,8201,1Q2018,1533872195169,5,5,4,5,5,4,4,4,3,
Camuyrano,8201,1Q2018,1533872195170,5,5,5,3,3,3,3,3,3,
Zalcman,8201,1Q2018,1533872195172,5,5,4,3,3,3,3,3,4,
